"","ID","Bar.Code","Item","Make","Model","Serial.Number","Description","Calibration.Date","Calibration.Equipment","Location","Responsible.Lab","Funding.Source","Project","Other.ID","Notes","Status","Cal.Report.Y.N","Picture","Picture.URL","Old.Asset.Number","OU.Asset","Asset.Type","Specification.Characteristics","Calilbration.Date","Maintenance.Date","Picture.Yes.No","Project.Equipment..Yes.No.","Class"
"1","L######","`F-00001~","F-00001","Next Computing","FleXtreme Next Dimension","ND3463661488","field computer with black hardshell case","N/A","N/A","160D","C&C Lab","","","SCE Device ID DI648298","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00001.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"2","L######","`F-00002~","F-00002","Next Computing","FleXtreme Next Dimension","ND3463661489","field computer with black hardshell case","N/A","N/A","160D","C&C Lab","","","ISGD# 0081","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00002.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"3","L######","`F-00003~","F-00003","MI Magnetic Instrumentation","RKP1417e","S 1440810914           146-1014E001","Rack Mounted Display & Keyboard","N/A","N/A","160D","C&C Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00003.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"4","L######","`F-00004~","F-00004","MI Magnetic Instrumentation","RKP1417e","S 1440810914           146-1014E002","Rack Mounted Display & Keyboard","N/A","N/A","160D","C&C Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00004.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"5","L######","`F-00005~","F-00005","Moxa","DA-820","TADHE1003514","industrial embedded computer","N/A","N/A","160D","C&C Lab","","","SCE ISGD Project 0180","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00005, Moxa, DA-820, TADHE1003514, Industrial Embedded Computer.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"6","L######","`F-00006~","F-00006","Moxa","DA-820","TADHE1003515","industrial embedded computer","N/A","N/A","160D","C&C Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00006, Moxa, DA-820, TADHE1003515, Industrial Embedded Computer.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"7","L######","`F-00007~","F-00007","Hewlett Packard","AF916A","2CJ0460835","power monitoring PDU S348 3PH, 48A, NA/JPN","N/A","N/A","160D","C&C Lab","","","SCE ISGD Project 0179","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00007, Heweltt Packard, AF916A, 2CJ0460835, Power Monitoring PDU.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"8","L######","`F-00008~","F-00008","Hewlett Packard","AF916A","2CJ0430947","power monitoring PDU S348 3PH, 48A, NA/JPN","N/A","N/A","160D","C&C Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00008, Hewlett Packard, AF916A, 2CJ0430947, Power Monitoring PDU.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"9","L######","`F-00009~","F-00009","Cisco","Nexus 2248tp","FOX1934G2WE","1GE Fabric Extender","N/A","N/A","160D","C&C Lab","","","","","Moved into the White Tent during DEMO","","","",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"10","L######","`F-00010~","F-00010","Hewlett Packard","ProLiant DL380P Gen8","USE236DHYA","Server","N/A","N/A","160D","C&C Lab","","","SCE Device ID D164880","George moved this equipment off site 12/7/2016 JC","Relocated to ViaSat in Carlsbad","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00010, Hewlett Packard, ProLiant DL380P Gen8, USE236DHYA, Server.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
